ရဲသာရွာသစ်၊ သားရိုး|yethar ywarthit, tharyoe
စိန်ပန်းကုန်းရွာ၊ လက်ပံလှ|SeinPanKone Village, LatPanHla
အုပ်စု၊ ဟင်္သာတမြို့|Group, Hinthata City
အုတ်ဖို(၂)ကျေးရွာ|OakePho(2) Village
ဝေါမြို့|Wal City
စဉ့်ဟယ်၊ အမှတ်(၆)|SintHal, No.(6)
တောင်ကြီးမြို့|Taunggyi City
နဝမ၊ တီးပါလယ်အုပ်စု|NaWaMa, TeParLal Group
မော်ကျွန်း|MawKyun
ရပ်ကွက် ၅ နယ်မြေ ၂|ward 5 naemyay 2
လားရှိုးမြို့|Larsho City
ဘောဂ၂လမ်း|bawga 2 street
ဖြူးမြို့နယ်|Phyu Township
ရင်ငွေ့ရွာ|yinnwae village
မလှိုင်|MaHlaing
နှာခေါင်းပေါက်ရွာ|nharkhaungpouk village
ဂုံညှင်းတန်းအုပ်စု|gonenyintan Group
ဇရပ်ကြီးကျေးရွာ|zayetgti village
ထန်းတပင်မြို့|Htantapin City
ဖက်တောင်ကျေးရွာ|Phattaung village
နတ်မောက်မြို့|Natmauth City
၂၂ရပ်ကွက်|22 ward
ရွှေပြည်သာမြို့နယ်|Shwepyithar Township
ကြာကန်ကျေးရွာ|Kyarkan village
မကွေးမြို့နယ်|Magway City
ညောင်ပင်သာကျေးရွာ|Nyaungpinthar village
ခရမ်းမြို့နယ်|Kayan Township
မြေနီပြင်ကျေးရွာ|myaynipyin village
မာန်အောင်မြို့နယ်|manaung township
မကျီးကုန်းရွာ၊ ကြုံးကြုံး|magyikone village, kyonekyone
ကျအုပ်စု, ပေါင်းတည်မြို့|kya group, paungde city
ကန်သာယာရပ်ကွက်|kantharyar ward
ဘီးလင်းမြို့|bilin city
မိုးသီတာရွာ၊ ပေါက်ကုန်း|moethitar village, paukkone
အုပ်စု၊ မိုးညိုမြို့|group, moenyo city
အရှေ့လျှော်ဖြူကုန်းရွာ|ahshae shawphyukone village
ပျော်ဘွယ်မြို့နယ်|pyawbwe township
လိန်ပင်ကျေးရွာ|lainpin village
ဝမ်းတွင်းမြို့နယ်|wundwin township
ရေသိုးညောင်ဝိုင်း|yethoenyaungwine
အိမ်မဲမြို့နယ်|eainme township
ပေါက်တပင်|pauktapin
သပိတ်ကျင်း|thabeikkyin 
ကျောင်းစု၊ ရွာသစ်အုပ်စု|kyaungsu, ywarthit group
ညောင်တုန်းမြို့|nyaung tone city
ဂုံမင်းကွင်းကျေးရွာ|gonminkwin village
ဒေးဒရဲမြို့|dedaye city
အောင်လှိုင်ရွာ|AungHlaing Village
ရေလိန်အုပ်စု၊ မော်လမြိုင်ကျွန်း|YayLain Group, MawLaMyineKyun
မင်းယားရွာ|MinYar Village
ဖောင်းပြင်မြို့|PhaungPyin City
ခေတ္တရာမြို့သစ်၊ ၆/၄|Khittaya Myoe Thit, 6/4
လမ်း၊ ပြည်မြို့|Street, Pyi City
ဈေးရပ်|ZayYat
နတ်မောက်မြို့|NatMout City
စည်ပင်တော်၊ ဂုံညှင်းတန်း|SiPinTaw, GoneNyinTan
အုပ်စု၊ လပွတ္တာ|Group, LatPutta
နတ်ကန်လည်|natkanlae
ကျောက်ပန်းတောင်းမြို့နယ်|Kyaukpantaung Township
ခလရ၈|kha la ya 8
ဘီးလင်းမြို့|Belin City
သမန်ကုန်းရွာ|Thamankone village
ဇလွန်မြို့|Zalone City
ရှင်စောပု၂ရပ်ကွက်|Shinsarpu2ward
ကျိုက်မရောမြို့နယ်|Kyaikmayaw Township
အနောက်ကုန်းရွာ|anouthkone village
ရွာငံမြို့|Ywarngan City
ထန်း၂ပင်ရွာ|Htan2pin village
စလင်းမြို့|Salin City
ပင်းတလဲရွာ|PinTaLal Village
ဆိပ်ဖြူမြို့နယ်|SeikPhyu Township
ပကိတ်ကျေးရွာ|PaKate Village
မြောင်းမြမြို့|MyaungMya City
အမှတ်(၆)ရပ်ကွက်|No(6)Ward
သာစည်မြို့|TharSi City
ကြက်ဖြူကုန်း|KyatPhyuKone
ပျော်ဘွယ်မြို့နယ်|PyawBwal Township
ညောင်ခါးရှည်|NyaungKharShay
ရပ်ကွက် (၉) ၊ နယ်|Ward 9, Nel 
မြေ (၁) ၊ လားရှိးးမြို့ |Myay 1, Lashio CIty
ကျောက်ငူရွာ၊ အုပ်စု |Kyauk Ngu Village, Group 
ကျောက်ဖြူမြို့နယ်|Kyauk Phyu Township 
ရွှေလှေကျေးရွာ |Shwe Hlay Village
ဘီးလင်းမြို့နယ်|Bee LinTownship 
ရွှေနံ့သာရွာ၊ နတ်စင်ကွင်း |Shwe Nant Thar Village, Nat Sin Kwin 
အုပ်စု၊ ရေကြည်မြို့နယ် |Group, Yay Kyi Township 
ပင်းဝ၊ ဘုရားကုန်းရွာ |Pin Wa, Pha Yar Kone Village 
ရေနံချောင်း|Yay Nan Chaung 
လွယ်ပန်းရွာ၊ ရေတွင်းကြီးအုပ်စု|LwalPan Village, YayTwinGyi Group
နောင်ချိုမြို့နယ်|NaungCho Township
ရွာသစ်ကုန်းရွာ|YwarThitKone Village
ကော့မှူးမြို့နယ်|KoutHmue Township
သပြေစမ်း(တ)|ThaPyaySan(South)
မကွေးမြို့နယ်|Magwe Township
တော်ရန်ရွာ၊ ရွာတက်|TawYan Village, YwarTat
ကုန်းအုပ်စု၊ နတ်တလင်းမြို့|Kone Group, NatTaLin City
ဒေးပေါက်ကျေးရွာအုပ်စု|DayPouk Village Group
ဂွေးပင်ချောင်းရွာ၊ ခရမ်းမြို့|GwayPinChaung Village, KaYan City
ရွှေလောင်းရွာ|ShweLaung Village
မင်းလှမြို့|MinHla City
ပိတောက်ရွှေဝါရပ်ကွက်|PadaukShweWar Ward
ကော့သောင်းမြို့|KoutThaung City
လဲဝင်ရွာ|LalWin Village
ဆင်ပေါင်ဝဲမြို့နယ်|SinPaungWal Township
ရပ်ကွက်(၁)၊ နမ့်မူဆယ်|Ward(1), NantMuse
အုပ်စု၊ တန့်ယန်းမြို့|Group, TantYan City
အကြီးဝ၊ ကျုံကူအုပ်စု|AKyiWa, KyoneKu Group
ဖျာပုံမြို့|PhyarPone City
အကွက်(၂၈၁)|ward (281)
ဒေးဝန်းအရှေ့၊ မဟာအောင်မြေမြို့နယ်|daewin ahshae, maharaungmyay township
သမိန်ထောကုန်းတန်း|thameinhtokonetan
ကျေးရွာ၊ ဖျာပုံမြို့နယ်|village, pyapon township
အမှတ် (၂) ရပ်ကွက်|No 2 Ward 
ငါ့သရောက်မြို့|Nga Tha Youk City 
ဂွေးတောက်အရှေ့၊ ကပ်ခို|gwaytauk ahshae, katkho
အုပ်စု၊ မြန်အောင်မြို့နယ်|group, myanaung township
အိုင်ဝိုင်း|ainewine
မအူပင်မြို့|maubin city
နယ်မြေ (၄) ရပ်ကွက် (၅)|nelmyay (4), ward (5)
လားရှိုးမြို့|lasho city
ကျောက်ဆည်ရွာ|kyaukse village
ပျော်ဘွယ်မြို့နယ်|pyawbwe township
ရပ်ကွက် (၄)|ward (4)
သံတောင်မြို့|thantaung city
လထခ၊ ဈေးရပ်ကွက်|LaHtaKha, zae ward
မင်္ဂလာဒုံ|mingalardon
ငွေတောင်ဇရစ်ဒေါင်း|ngwetaung zayitdaung
ရတရ|YaTaYa
မျက်သီးကျင်းရွာ|myatthikyin village
ကံကြီးအုပ်စု၊ မလှိုင်မြို့|kangyi group, mahlaing city
ဘုရင့်နောင်လမ်း|BaYintNaung Street
အောင်ချမ်းသာ(၁)ရပ်ကွက်|AungChanThar(1)Ward
သန်လျင်|Thanhlin
အုတ်ဖိုချောင်၊ဒူးတာ|Oakphocung၊ Dutr
မြို့၊ဟင်္သာတမြို့နယ်|City ၊ Hinthada Township 
မြို့မရပ် |Myoe Ma Yat 
မိုးကုတ်မြို့|Moe Koke City 
ကုလားချောင်းရွာ|KaLarChaung Village
သဂရဝေါအုပ်စု၊လက်ပံတန်းမြို့|ThaGaWall Group, LatPanTanCity
သမော်အင်းရွာ|ThaMawInn Village
ပွင့်ဖြူမြို့နယ်|Pwint Phyu Township
ညောင်ပင်ရွာ|NyaungPin Village
မုံရွာမြို့နယ်|Monywa Township
စပါယ်မျှောင်ကျေးရွာ|SapalMyaung Village
ဇီးကုန်းမြို့|ZeeKone City
ထနောင်းဝင်းရွာ|HtaNaung Win Village
မုံရွာမြို့နယ်|Monywa Township
ဟိုတိရွာ|HoTi Village
ဟိုပုံးမြို့နယ်|Hopong Township
နယ်မြေ(၁)၊ ရန်အောင်-၁|NalMyay(1), YanAung-1
ရပ်ကွက်၊ ပျဉ်းမနားမြို့|Ward, PyinMaNar City
ရွာလယ်သောင်ရွာ|YwarLalThaung Village
တောင်ကုတ်မြို့နယ်|TaungKote Township
ဆင်ခေါင်းရွာ(တောင်ပိုင်း)|SinKoungVillage(South)
မင်းဘူးမြို့နယ်|MinBu Township
ဆွဲဇကွဲ ကျေးရွာ|swezakawe village
ညောင်လေးပင်မြို့နယ်|nyaunglaypin township
ပင်းတလဲရွာ|pintalel village
ဝမ်းတွင်းမြို့နယ်|wundwin township
မနောကုန်းရွာ/အုပ်စု|MaNawKone Village/Group
မြို့သစ်မြို့|MyotThit City
လွှဲမွန်ရွာ၊လွှဲမွန်အုပ်စု|HlwalMon Village, HlwalMon Group
မိုးညှင်းမြို့နယ်|MoeNyin Township
ယက္ကန်းစင်ရွာ၊ အိုးကွဲအုပ်|YatKanSin Village, OhKwal Oak
စု၊ အင်္ဂပူမြို့|Su, Ingapu City
ရွာသစ်ရွာ|YwaThit village
ကျောက်တံခါးမြို့နယ်|KyaukDaKar Township
သံဘို(တ)ရွာ|ThanBo(South)Village
ချောက်မြို့|Chauk City
တောင်စု|Taungsu
သနပ်ပင်|ThaNatPin
အင်းတန်ရွာ၊ အောက်ဝါး|inntan village, outwar
နတ်ချောင်း၊ မှော်ဘီ|natchaung, mawbi
ဗျင်ကြီးရွာ|Byin Gyi Village
ဝမ်းတွင်းမြို့နယ်|Wundwin Township
တင်ပြင်ခွေရွာ၊ တင်ပြင်ခွေ|TinPyinKway Village, TinPyinKway
အုပ်စု၊ နတ်တလင်းမြို့|Group, NatTaLin City
ချောင်းကောက်ကျေးရွာအုပ်စု|chaungkauk village group
တိုက်ကြီးမြို့နယ်|tikekyi  township
မင်္ဂလာဒီပရပ်ကွက်၊|Mingalardipa Ward၊
ပုဗ္ပသီရိမြို့နယ်|Pobbathiri Township 
ခဲချောင်းရွာ |Khae Chaung Village
ဘုတ်ပြင်းမြို့|Boak Pyin City
ညောင်လှရွာ၊ မှတ်တိုင်အုပ်|NyaungHla Village, HmatTine 
စု၊ ပေါင်းတည်မြို့|Group, PaungTi City
ဇီးကုန်းရွာ|zekone village
ရေစကြိုမြို့နယ်|yesagyo township
ရှင်စောပုရပ်ကွက်|shinsawpu ward
ကျိုက်မရောမြို့|kyikemayaw city
မကျက်တောရွာ၊ ကိုင်း|MaKyatTaw Village, Kaing
ချောင်းအုပ်စု၊ ဟင်္သာတမြို့|Chaung Group, Hinthada City
မြစန္ဒာ၊ သဲပုံဆိပ်|MyaSandar, ThaePone Sate
မြောင်းမြမြို့နယ်|MyaungMya Township
မုဆိုးခြုံဘူတာ|MoteSoeChone Station
ဝက်လက်မြို့နယ်|WatLat Township
ရန်မျိုးအောင်ရပ်၊ နယ် ၁/၉|yanmyoaung ward,  nel 1/9
မိတ္ထီလာမြို့|meiktila city
ကျွဲလူးတောင်ရွာ|KwyalLuTaung Village
အမ်းမြို့နယ်|Ann Township
နွားဘန်းကြီးရွာ|NwarBanGyi Village
ရွာငံမြို့နယ်|YwarNgan Township
ကျုံပိုင်းရွာ၊ ဇီးဖြူကုန်း|kyonpaing village, zeephyukone
အုပ်စု၊ ဒေးဒရဲမြို့နယ်|group, dedaye township
ဈေးကုန်းရွာ၊ လမ်းခွ|zaykone village, lankhwa
မြစ်သားမြို့နယ်|myittha township
အောင်ဟိတ်|AungHate
မအူပင်မြို့|MaAuPin City
စိုက်ပျိုးရေးလမ်း၊ မင်းပိုင်းရပ်ကွက်|Agricultural Street , Min Paing Ward
တွံတေးမြို့|TwanTay City
သပြေငူ၊ ကျွဲခြံဒေါင့်|thaphayngu, kyawechandaunk
ကျုံပျော်မြို့|kyonpyaw city
မကျီးပင်(အရှေ့)ကျေးရွာ|MaKyeePin(East)Village
ကျောက်တံခါးမြို့နယ်|KyoukTaGar Township
ရှမ်းကွင်းရွာ|ShanKwin Village
မြောင်းမြမြို့နယ်|MyaungMya Township
အရှေ့ပိုင်း၊ ကဂုပ္ပိကျေးရွာ|East, KaGotePi Village
သံဖြူဇရပ်မြို့|ThanPhyuZayat City
ကပစ ၁|ka pa sa 1
တပ်ကုန်းမြို့|Tatkone Township
တောကင်းကျေးရွာ|TawKin Village
သာစည်မြို့နယ်|Tharsi Township
ရွာတန်းရွာ၊ မလှိုင်|YwarTan Village, MaHlaing
နတ်လူထိပ္ပန်ရပ်ကွက်|NatLuHtatePan Ward
နယ်မြေ(၃)၊ မုံရွာမြို့|NalMyay(3), Monwya City
ရွာမ/ဝဲဒေါင့်အုပ်စု|YwarMa, WalDaunt Group
မော်ကျွန်း|MawKyun
တိုးချဲ့(၄)လမ်း၊ ၈ရပ်ကွက်|ToeChae(4)Street, 8Ward
လပွတ္တာမြို့|Latputta City
မလတ်တို|Ma Lat Toe
မအူပင်မြို့|Maupin City
၉/၂/၈/၁၅၄(ခ)|9/2/8/194(Kha)
ရွှေပြည်သာမြို့နယ်|Shwe Pyi Thar Township
ငါးအိမ်တန်း၊ကွင်းကြီး|Ngar Eain Tan, Kwin Gyi
ဘိုကလေး|Bokalay
အတိုရွာ၊ ရွှေလှေအုပ်စု|ATo Village, ShweHlay Group
ပန်းတနော်|PanTaNaw
ကျွဲတိရွာ၊ ကျွဲတိအုပ်စု|KwyalTi Village, KywalTi Group
ပွင့်ဖြူမြို့နယ်|Pwint Phyu Township
ကျွန်းကြီးရွာ၊ သနပ်ပင်မြို့|kyungyi village, thanatpin city
မမုန်ကိုင်းကျေးရွာ|mamonekaing village
မိုးညှင်းမြို့နယ်|moenyin township
အမှတ်(၆) ရပ်ကွက်|no(6) ward
မြင်းခြံမြို့နယ်၊ မန္တလေးတိုင်း|myingyan township, mandalay division
ရင်းတိုက်ရွာ၊ကြခတ်ကွင်း|Yin Tike Village, Kya Khat Kwin
အုပ်စု၊ဟသ်ာတမြို့|Group, Hin Tar Ta City
ကမာစဲရွာ|kamarsel village
သနပ်ပင်မြို့နယ်|thanatpin township
ဒုံဂရစ် ၃ ရပ်ကွက်|Donegayit 3 Ward
ရွှေကျင်မြို့နယ်|Shwe Kyin Township
အောင်ဇေယျာရပ်|AungZayar Yat
မိတ္ထီလာမြို့|Meikhtila City
အောက်ကျောင်းရွာ|AoutKyaung Village
မင်းဘူးမြို့|MinBu City
ငွေတောင်ရွာ|NgweTaung Village
ပင်လောင်းမြို့နယ်|PinLaung Township
ပေါက်ပင်ကျေးရွာ|PaukPin Village
ခရမ်းမြို့|KhaYan City
ကနောင်စုရပ်|kanaungsu ward
ဟင်္သာတမြို့|hinthada city
သပြေကုန်းရွာ|thaphaykone village
ဘုရားသုံးဆူမြို့နယ်ခွဲ|phayarthonesu  sub-township
နမ္ဗား/ ညောင်ကုန်းရွာ|nabar/ nyaungkone village
မိုးညှင်းမြို့|moenyin city
ဇော်ဂျီ ၁ ကွက်|zawgyi 1 ward
ရပ်စောက်မြို့|Yatsout City
အကွက် ၂၇၆၊ 631/ရှေ့|Akwat 276, 631/East
မဟာအောင်မြေ|Mahar AungMyay
ဆားဘိုကုန်းကျေးရွာ|SarBoKone Village
ဝေါမြို့နယ်|Wall Township
၁/၁၃/၆၆ ခ စိန်ပန်းလမ်း|1/13/66 kha seinpan street
၁ ရပ်ကွက်|1 ward
ရေနံ၂ တွဲတလင်းအုပ်စု|yaynan 2 twaetalin Group
ရွှေတောင်မြို့|Shwetaung Township
မကျီးကန်ကျေးရွာ|Magyikan Village
ခရမ်းမြို့နယ်|KhaYen Township
မုံရွာ(၃)လမ်း၊ ဆေးရုံ|monywar(3) street, sayyone
ရပ်ကွက်၊ ဝါးခယ်မမြို့|ward, wakhema city
စမ်းချောက်ကလေးရွာ|sanchaukkalay village
မြောင်းမြမြို့နယ်|Myaungmya Township
ကံလှရွာ၊ သပြေ|KanHla Village, ThaPyay
ကုန်းအုပ်စု၊ ပင်လောင်းမြို့|Kone Group, PinLong City
ကာပူရွာ|karpu village
အမ်းမြို့နယ်|ann township
ခမရ၅၀၈ ဗထူးတပ်|kamaya 508 bahtootat
ရပ်စောက်မြို့|Yatsout City
ကုက္ကိုလ်ကုန်းဘူတာ ၊ ကုက္ကိုလ်ကုန်းအုပ်စု|KokKoKone Station, KokKoKone Group
တောင်တွင်းကြီးမြို့|TaungDwin Gyi City
ကြို့ချောင်းအုပ်စု|Kyochaung Group
တိုက်ကြီးမြို့နယ်|Taikkyi Township
တောင်သာချောင်း၊တော်|Taungtharchaung၊ Taw
ပိုင်အုပ်စု၊ဘိုကလေးမြို့နယ်|Paing Group၊ Bokalay Township 
၃၂၃၊ လတပ|323၊ Latapa
ပြည်တော်သာ၊ မင်္ဂလာဒုံ။|Pyitawthar၊ Mingalardon။
တ.ရ.ခ၊ ကမ်းကြီးရွာ|Ta.Ra.Kha, KanGyi Village
ကျွန်းစုမြို့နယ်|KyunSu Township
အမှတ်(၅)ရပ်ကွက်|No.(5)Ward
ပေါက်ခေါင်းမြို့|PaukKoung City
တန်းရွာ|tan ywar
မြောင်းမြမြို့နယ်|Myaungmya Township
နမ ၁၁ အနော်ရထာ|na ma 11 tnawyahtar
တပ်ကုန်းမြို့|Tatkone Township
ကျွန်းကလေးကျေးရွာ|Kyunkalay village
မြောင်းမြမြို့နယ်|Myaungmya Township
ဆွာမြို့ ၃ရပ်ကွက်|swar city 3 ward
ရေတာရှည်မြို့|Yaytarshae City
ထီးပေါ့ကလိုရွာ|HteePautKalo Village
ကြာအင်းဆိပ်ကြီးမြို့|KyarInSaikGyi City
ပဲမြောက်|Pae Myauk
မင်းကွန်းမြို့နယ်|MinKon Township
အပိုင်း ၄ ၊ ရွှေအိုး ၁ ရပ်ကွက်|Zone 4, Shwe Owl 1 Ward
တောင်တွင်းကြီးမြို့|TaungDwin Gyi City
ချောင်ရှည်ကျေးရွာ|Chaungshae village
မင်းပြားမြို့နယ်|Minpyar Twonship
ညောင်တိုကျေးရွာ|Naungto village
သာစည်မြို့နယ်|Tharsi Township
မြရတနာ(၁)လမ်း|myayatanar (1) street
သခင်လှရှိန် ရပ်ကွက်၊ မိုးညို|thakhinhlashein ward, moenyo
မြို့|city
ဘုန်းကြီးတောင်၊ ဒေးဒလူ|phonekyitaung, daydalu
အုပ်စု၊ ဖျာပုံမြို့နယ်|group, pyapon township
ကြိမ်ဖူးစွန်း၊ တောကြီး|kyeinphooson, tawgyi
အုပ်စု, ဓနုဖြူမြို့နယ်|group, danuphyu township
ရွှေပြည်ရန်အောင်ရပ်|ShwePyiYanAung Ward
ပျော်ဘွယ်မြို့နယ်|PyawBwe Township
အောက်သီစုရပ်ကွက်|outthisu ward
စစ်တွေမြို့|Sittwe Township
၇/ ရှင်စောပုလမ်း|7/ Shinsawpu street
ဈေးကြိုရပ်ကွက်,မော်လမြိုင်မြို့|Zaykyo Ward, Malawmyaine City
ညောင်ပင်ရွာ|Nyaungpin Village 
မလှိုင်မြို့နယ်|Mahlaing Township 
နဘဲ့ကမ်းကျေးရွာ၊ ဘုတရာ|NaBaeKan Village, BuTaYar
ရပ်ကွက်၊ ဒိုက်ဦး|Ward, DikeOo
စည်တော်ကုန်းရွာ၊|Sitawkone Village၊
စည်တော်ကုန်းအုပ်စု၊ဟင်္သာတမြို့|Sitawkone Group၊ Hinthada City 
အရာတော်ကျေးရွာ|Ayartaw Village 
ဆိက္ခဝအုပ်စု ၊ ပခုက္ကူမြို့နယ်|Sakekawa Group၊ Pakokku Township 
စွပွနူးကျေးရွာ၊|Swapwanu Village၊
ကျိုက်ထိုမြို့နယ်|Kyaikto Township 
သပြေပင်ရွာ|Thapyaypin Village 
မိတ္ထီလာ|Meiktila 
ပိတောက်ကုန်းရွာ၊မိုးတိမ်|Pataukkone Village၊ Moetain
ပြင်အုပ်စု၊ငရုတ်ကောင်း|pyin Group၊ Ngayotekaung 
ကွက် ၇၄၂ ရန်မျိုးလုံ|Zone 742 , YanMyoLone
ချမ်းအေးသာစံမြို့နယ်၊ မန္တလေး|ChanAyeTharSan Township , Mandalay
သုံးခွရွာ|ThoneKwa Village
မအူပင်မြို့|Maubin City
ရှားတောကွင်းရွာ|Shar Taw Kwin Village
ဆင်ဂေါင်းအုပ်စု|SinGaung Group
ကမ်းနီရွာ၊ ကမ်းတုန်းကွင်းအုပ်စု|KanNi Village, KanToneKwin Group
လပွတ္တာမြို့နယ်|Laputta Township
ကြာပို့ကျေးရွာ|Kyarpo Village 
တောင်သာမြို့နယ်|Taungthar Township 
အင်းရဲကျေးရွာ /|Innye Village/
ကျုံပျော်မြို့နယ် /|Kyonpyaw Township/
၃၂၂၊တရုတ်တမ်းလမ်း|322/ Tayoattan street
ရွှေကူရပ်,ပြည်မြို့|Shwekuyet, Pyay City
စမုံရွာမကျေးရွာ|Samoneywarma village
တောင်တွင်းကြီးမြို့|Taungtwingyi City
ကြက်ဆူတော(မ)ရွာ|Kyatsuetaw (Ma) village
တောင်တွင်းကြီးမြို့|Taungtwingyi City
ရေကျော်ကျေးရွာ|Yaekyaw village
ဟိုင်းကြီးကျွန်းမြို့|Hyikyikyoun City
အမှတ်(၃)ရပ်ကွက်|No.(3)Ward
ပေါက်ခေါင်းမြို့|PaukKoung City
အင်းတကော်၊ |InnTaKaw
ခမရ(၁၀၅)တပ်ရင်း|KhaMaRa(105)TatYin
ပဲခူးမြို့|Pegu City
တောညောင်ပင်သာရွာ|TawNyaungPinThar Village
ဆင်ပေါင်ဝဲမြို့နယ်|SinPaungWal Township
ရပ်ကွက်(၁၀)|Ward (10)
နယ်မြေ(၄)၊လားရှိူး|Territory(4), Larsho
ဖလံပင်ရွာ၊ဖလံပင်အုပ်စု|Phalanpin village, Phalanpin Group
နတ်တလင်းမြို့နယ်|Nattalin Township
အနောက်ပိုင်းထမ်း၊ (၁)ရပ်|WestPineHtan, (1)
ကွက်၊ မှော်ဘီမြို့|Ward, Hmawbi City
ဈေးပိုင်းရပ်ကွက်|ZayPine Ward
သာယာဝတီမြို့|TharYarWadi City
အိုင်ကြီးလည်ရွာ|AiGyiLal Village
မိတ္ထီလာ|MeikHtella
ပေါက်တောမြို့|PaukTaw City
မြို့အိုရွာ|MyoeO Vllage
ကောနလင်|KawNaLin
နယ်မြေ(၉)၊ဟော်ကုန်းရပ်|NalMyay(9), HawKone Yat
တောင်ကြီးမြို့|TaungGyi City
အောက်ကွင်းကျေးရွာ|AoutKwin Village
ဖျာပုံမြို့နယ်|Pyapone Township
ရွာသစ်ကျေးရွာ|YwarThit Village
သုံးခွမြို့|ThoneGwa City
လက်ပန်နန်းခလဲကျေးရွာ|LatPanNanKalal Village
သုံးခွမြို့|ThoneGwa City
ယင်းဖား|YinPhar
ပန်းတနော်|Pantanaw
ကျောင်းဟောင်းလမ်း|KyaungHoung Street
မင်းကွက်-၂၊ ပေါင်းတည်|MinKwat-2, PaungTi
ထန်းငယ်တောကျေးရွာ|HtanNgal Taw Village
ရေစကြိုမြို့နယ်|YaySaKyo Township
ညောင်ပင်သာ|NyaungPinThar
ကျောက်တံခါးမြို့|Kyauktakar City
ကညင်းကုန်း |Kanyinkone
မြောင်းမြမြို့နယ်|Myaungmya Township
ကြို့ပင်သာ သိုင်းဝ|Kyopinthar thynewa
ရေတာရှည်မြို့|Yaytarshae City
လောပိတဂွမ်းရွာ|lawpitagwan village
လွိုင်ကော်မြို့နယ်|LyghtKaw Township
ဌ၄၉ ပုလဲ၄လမ်း|htawonbal 49 pareal 4 street
မြောက်ဥက္ကလာပမြို့နယ်|North okkalapa township
မြို့သာ အနောက် အမှတ် ၃|MyoThar West No.3
ငါန်းဇွန်မြို့|NganZun City
သားနားကျေးရွာ|Tharnar village
ဝက်လက်မြို့နယ်|watlatt Township
နားကန်ရွာ |Ngarkan village
ညောင်ရွှေမြို့နယ်|Nyaungshwe Township
ဗန္ဓဂုရွာ၊ ထုံတောင်အုပ်စု|BanDuGu Village, Htone Taung Group
သရက်မြို့နယ်|Tha Yet Township
ကလေးကျေးရွာ|Kalay village
ကဝမြို့|Kawa City
ကျောင်းစုကျေးရွာ ညီနောင်ကျေးရွာအုပ်စု|Kyaungsu village nyinaung village Group
ဘိုကလေးမြို့|Bokalay City
တောစိမ့်ရွာ|tawsaint village
စလင်းမြို့|Salin City
လွယ်ခေါ့ရွာ၊|Lwal kawh Village 
နောင်တောအုပ်စု၊ညောင်ရွှေမြို့|Naung Taw Group, Nyaung Shwe City 
အညာခု၊ မိုးဟုတ်အုပ်|ANyarKu, Moe Hok Ouk
ညောင်တုန်းမြို့|Nyaung Tone City
ရုံးပင်ကျေးရွာ|YonePin Village
တောင်သာမြို့နယ်|Taung Thar Township
၁၁-မုဒူး ကျေးရွာ|11-Mudoo Village
ချောင်းဆုံမြို့|Chaung Sone City
နားကုန်းရွာ နားကုန်းအုပ်|Narkone Village Narkone Oat
စု လင်းခေးမြို့|Su Linkhay
မ ၃၆ မန်တိမ်တန်ရပ်|M 36, ManTainTan Ward
ကျိုက်ဖနဲ၊ မော်လမြိုင်|KyaikFaNae , MawLaMyaing
ဥယျာဉ်ပြင်ကျေးရွာ|Ouyin Pyin Village
သံတွဲမြို့|Thantwe City
၅/၁၅၃ ၉လမ်း|5/153 9Street
တောင်ဥက္ကလာ (မ) မြို့နယ်|South Oakklar (Ma) Township
ကျောက်ခွက်ရွာ ၊ ကျောက်ခွက်အုပ်စု|KyaukKwat Village, KyaukKwat Group
နတ်တလင်းမြို့|Nattalin City
ကိုင်းတောလေးရွာ|KainTawLay Village
မင်းဘူးမြို့နယ်|MInBu Township
မထက်ပြွန်/အုပ်စု|MaHtetPyun Group
ငပုတောမြို့နယ်|NgaPuTaw Township
မ ၅၂၆၊ အနော်မာ|Ma 526, ANawMar
(၁၂)လမ်း၊ (၁)ရပ်ကွက်၊ |(12)Street, (1)Ward
သာကေတ|TharKayTa
ကျမ်းတိုင်ကျွန်းရွာ|KyanTaingKyun Village
ရေနံချောင်းမြို့နယ်|YayNanChaung Township
သာစည်ရပ်ကွက်|TharSi Ward
ဗန်းမော်မြို့|BanMaw City
အောင်ဇေယျ(၆)လမ်း|Aungzaya (6) Street
အသုတ်(၃)ရပ်ကွက် ရေကြည်မြို့နယ်|Athote (3) Ward Yaykyi Township
အမှတ် ၁ ရပ်ကွက်|No.1 Ward
ရေတာရှည်မြို့နယ်|YayTar Shae Township
တောင်ပန်းဆွဲအုပ်စု|TaungPanSwal Group
သာယာဝတီမြို့နယ်|TharYarWadi Township
တပ်ကုန်းရွာ၊ ထန်းတပင်|TatKone Village, HtanTaPin
အုပ်စု၊ မြို့သစ်မြို့နယ်|Group, New City Township
ရွာမရွာသစ်|YwarMa NewVillage
တောင်ကုတ်မြို့နယ်|TaungKote Township
လှည်းအိုးရွာ|HleOhh Village
ရပ်စောက်မြို့|YaySout City
၄၆၁(က)၊ ကျန်စစ်သား|461(Ka), KyanSitThar
လမ်း၊ ၁၅ရပ်ကွက်|Street, 15 Ward
ပဲခူးရပ်ကွက်|Pegu Ward
ကျောက်ကြီးမြို့|KyoukGyi City
ဆင်တဲ . ပန်းတောင်း|Sinte . Panntaung 
အောင်ဇေယျရပ်၊|Aungzayayat၊
သံဖြူဇရပ်မြို့|Thanphyuzayat City 
ကမ်းဒိတ်ရွာ၊|Kamdate Village၊
